Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.7593,0.88191,1.2952,0,0,0,0.54304,0.0012059,2.3772E-06,1.0338E-05,0.0019295,-4.0417E-06,0.0012054,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/base_link.STL,,Arduino base-1;base-1;tail-1;tail-2;tail-3;tail-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-0.0019787,0.025514,0.0084214,0,0,0,0.12114,0.00021364,2.5644E-05,-2.5895E-07,0.00017429,9.3726E-06,0.00020171,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Link_1.STL,,rotating base Part-1,Origin_Joint_0,Joint_0_Axis,Joint_0,revolute,0.76061,-1.2866,0.93518,1.5708,0,-0.52589,base_link,0,1,0,0.864,3,0,3.14,,,,,,,,
Link_2,0.021403,0.050291,-0.038255,0,0,0,0.17238,0.0005914,-1.6628E-06,3.2927E-07,0.00023108,0.00025314,0.00041321,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Link_2.STL,,elpow-2,Origin_Joint_1,Axis_Joint_1,Joint_1,revolute,0,0.082426,0,0.36244,0,0,Link_1,1,0,0,0.864,3,-1.57,1.57,,,,,,,,
Link_3,-0.011229,-0.055225,-0.0015914,0,0,0,0.070504,0.00015519,-5.7733E-06,4.4491E-07,1.6277E-05,-1.5317E-06,0.0001521,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Link_3.STL,,wrist-1,Origin_Joint_2,Axis_Joint_2,Joint_2,revolute,0,0.10627,-0.074881,-1.931,-0.041344,-0.10931,Link_2,0.99318,0,0.11657,0.864,3,0,3.14,,,,,,,,
Link_4,0.0065253,0.0048213,3.8508E-06,0,0,0,0.02047,7.999E-06,-1.6287E-06,-2.2462E-10,4.9485E-06,1.0257E-09,7.2844E-06,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Link_4.STL,,wrist roll-1,Origin_Joint_3,Axis_Joint_3,Joint_3,revolute,-0.013022,-0.13575,-0.0015284,0,0.11684,-3.1416,Link_3,0,1,0,0.176,3,0,3.14,,,,,,,,
Gripper_Base,-0.018023,-0.023551,0.025293,0,0,0,0.016036,7.3924E-06,1.4571E-06,-3.5735E-07,2.6117E-06,1.3914E-06,8.2781E-06,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gripper_Base.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gripper_Base.STL,,Gripper base Ra-2,Origin_Gripper_Base_Joint,Axis_Gripper_Base_Joint,Gripper_Base_Joint,revolute,0,0,0,1.5708,0,3.1416,Link_4,1,0,0,0.176,3,0,3.14,,,,,,,,
Gear_1,0.0055801,0.00060198,0.00099206,0,0,0,0.0026944,9.1847E-08,9.4415E-09,5.9164E-22,3.7147E-07,1.3235E-23,4.5613E-07,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gear_1.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gear_1.STL,,Gear 1 Ra-2,Origin_Gear_1_Joint,Axis_Gear_1_Joint,Gear_1_Joint,revolute,-0.029,-0.038,0.037984,0,0,-1.6043,Gripper_Base,0,0,1,0,0,0,1.57,,,,,,,,
Finger_1,0.03189,0.0095132,2.2592E-08,0,0,0,0.0055054,1.8674E-07,-3.8088E-07,-6.6232E-12,1.6277E-06,1.2684E-11,1.7482E-06,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Finger_1.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Finger_1.STL,,Gripper 1 Ra-3,Origin_Finger_1_Joint,,Finger_1_Joint,revolute,0.024112,0.0024378,-0.0052579,3.1416,0,0.43342,Gear_1,0,0,0,0,0,-1.57,1.57,,,,,,,,
Gear_2,-0.0057816,-0.00014626,0.00099206,0,0,0,0.0025954,9.8592E-08,-4.4759E-08,-2.0779E-21,3.5606E-07,-1.3367E-21,4.4773E-07,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gear_2.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gear_2.STL,,Gear 2 Ra-2,Origin_Gear_2_Joint,Axis_Gear_2_Joint,Gear_2_Joint,revolute,-0.0021,-0.038,0.037984,0,0,1.7727,Gripper_Base,0,0,1,0.144,3,-1.57,0,,,,,,,,
Finger_2,0.03189,0.0095132,2.2592E-08,0,0,0,0.0055054,1.8674E-07,-3.8088E-07,-6.6232E-12,1.6277E-06,1.2685E-11,1.7482E-06,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Finger_2.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Finger_2.STL,,Gripper 1 Ra-4,Origin_Finger_2_Joint,,Finger_2_Joint,revolute,-0.023525,-0.0027739,-0.0052579,0,0,2.5324,Gear_2,0,0,0,0,0,-1.57,1.57,,,,,,,,
Gripper_Base_Link_1,0.0155,-5.7954E-14,0.0040922,0,0,0,0.0016295,7.4103E-09,-8.265E-23,1.7915E-21,2.0996E-07,5.9557E-23,2.1303E-07,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gripper_Base_Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gripper_Base_Link_1.STL,,Grip link 1 Ra-5;Grip link 1 Ra-7,Origin_Gripper_Base_Link_1_Joint,Axis_Gripper_Base_Link_1_Joint,Gripper_Base_Link_1_Joint,revolute,-0.021,-0.058,0.028634,0,0,-1.5857,Gripper_Base,0,0,1,0,0,0,1.57,,,,,,,,
Gripper_Base_Link_2,0.015359,5.0318E-05,0.0040922,0,0,0,0.0016295,7.4103E-09,-2.3954E-21,5.995E-22,2.0996E-07,3.3087E-23,2.1303E-07,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gripper_Base_Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://Small_Robot_Arm_URDF/meshes/Gripper_Base_Link_2.STL,,Grip link 1 Ra-6;Grip link 1 Ra-8,Origin_Gripper_Base_Link_2_Joint,Axis_Gripper_Base_Link_2_Joint,Gripper_Base_Link_2_Joint,revolute,-0.011001,-0.058149,0.028634,0,0,-1.2345,Gripper_Base,0,0,1,0,0,-1.57,0,,,,,,,,
